2022-11-20_16-14-19,987.74,19.93,40.02
2022-11-20_16-14-28,987.74,19.93,40.74
2022-11-20_16-15-3,987.80,20.12,45.36
2022-11-20_16-16-4,987.84,20.08,42.66
2022-11-20_16-17-4,987.77,20.05,41.08
2022-11-20_16-18-4,987.85,19.99,39.11
2022-11-20_16-19-4,987.85,19.99,43.47
2022-11-20_16-20-4,987.81,20.01,41.76
2022-11-20_16-21-4,987.77,20.00,40.65
2022-11-20_16-22-4,987.78,19.95,40.32
2022-11-20_16-23-5,987.81,19.97,44.29
2022-11-20_16-24-5,987.87,19.95,39.68
2022-11-20_16-25-5,987.87,19.94,39.49
2022-11-20_16-26-5,987.83,19.98,38.19
2022-11-20_16-27-5,987.88,20.10,37.88
2022-11-20_16-28-5,987.92,20.23,37.78
2022-11-20_16-29-5,987.88,20.45,37.30
2022-11-20_16-30-5,987.91,20.56,37.09
2022-11-20_16-31-6,987.92,20.68,38.61
2022-11-20_16-32-6,987.87,20.60,38.86
2022-11-20_16-33-6,987.86,20.55,40.32
2022-11-20_16-34-6,987.82,20.58,43.24
2022-11-20_16-35-6,987.84,20.54,40.93
2022-11-20_16-36-6,987.82,20.53,39.73
2022-11-20_16-37-6,987.86,20.49,39.19
2022-11-20_16-38-7,987.79,20.46,40.34
2022-11-20_16-39-7,987.77,20.41,38.54
2022-11-20_16-40-7,987.83,20.32,38.06
2022-11-20_16-41-7,987.82,20.27,38.04
2022-11-20_16-42-7,987.83,20.28,38.64
2022-11-20_16-43-7,987.89,20.30,40.54
2022-11-20_16-44-7,987.80,20.27,38.12
2022-11-20_16-45-7,987.80,20.31,40.52
2022-11-20_16-46-8,987.80,20.27,38.56
2022-11-20_16-47-8,987.76,20.25,38.91
2022-11-20_16-48-8,987.73,20.28,40.20
2022-11-20_16-49-8,987.69,20.32,37.25
2022-11-20_16-50-8,987.65,20.35,39.28
2022-11-20_16-51-8,987.70,20.36,38.22
2022-11-20_16-52-8,987.68,20.46,37.11
2022-11-20_16-53-9,987.69,20.57,36.59
2022-11-20_16-54-9,987.78,20.71,36.34
2022-11-20_16-55-9,987.70,20.78,36.32
2022-11-20_16-56-9,987.73,20.84,38.52
2022-11-20_16-57-9,987.81,20.82,40.73
2022-11-20_16-58-9,987.81,20.77,37.53
2022-11-20_16-59-9,987.87,20.65,38.35
2022-11-20_17-0-9,987.76,20.59,40.21
2022-11-20_17-1-10,987.75,20.54,38.09
2022-11-20_17-2-10,987.84,20.48,38.04
2022-11-20_17-3-10,987.81,20.46,37.93
2022-11-20_17-4-10,987.81,20.42,37.95
2022-11-20_17-5-10,987.81,20.37,38.01
2022-11-20_17-6-10,987.81,20.32,37.93
2022-11-20_17-7-10,987.87,20.29,37.90
2022-11-20_17-8-11,987.80,20.26,37.93
2022-11-20_17-9-11,987.85,20.23,38.19
2022-11-20_17-10-50,987.83,20.42,44.49
2022-11-20_17-11-50,987.79,20.41,39.08
2022-11-20_17-12-51,987.81,20.32,39.06
2022-11-20_17-13-51,987.87,20.30,38.70
2022-11-20_17-14-51,987.87,20.29,38.34
2022-11-20_17-15-51,987.82,20.27,38.67
2022-11-20_17-16-51,987.89,20.25,38.13
2022-11-20_17-17-51,987.86,20.39,37.93
2022-11-20_17-18-51,987.76,20.59,38.03
2022-11-20_17-19-52,987.76,20.69,37.29
2022-11-20_17-20-52,987.85,20.74,38.77
2022-11-20_17-21-52,987.78,20.66,37.88
2022-11-20_17-22-52,987.75,20.59,38.00
2022-11-20_17-23-52,987.79,20.51,38.70
2022-11-20_17-24-52,987.79,20.46,40.79
2022-11-20_17-25-52,987.81,20.41,39.07
2022-11-20_17-26-52,987.74,20.38,39.44
2022-11-20_17-27-53,987.76,20.35,38.96
2022-11-20_17-28-53,987.80,20.32,38.80
2022-11-20_17-29-53,987.72,20.32,40.42
2022-11-20_17-30-53,987.74,20.34,38.80
2022-11-20_17-31-53,987.74,20.34,38.63
2022-11-20_17-32-53,987.69,20.32,38.73
2022-11-20_17-33-53,987.74,20.29,38.77
2022-11-20_17-34-54,987.69,20.27,38.46
2022-11-20_17-35-54,987.76,20.25,38.42
2022-11-20_17-36-54,987.73,20.23,38.32
2022-11-20_17-37-54,987.69,20.22,38.52
2022-11-20_17-38-54,987.73,20.18,40.87
2022-11-20_17-39-54,987.71,20.18,38.60
2022-11-20_17-40-54,987.70,20.17,38.85
2022-11-20_17-41-54,987.77,20.15,39.27
2022-11-20_17-42-55,987.84,20.13,38.57
2022-11-20_17-43-55,987.80,20.16,38.35
2022-11-20_17-44-55,987.83,20.28,38.19
2022-11-20_17-45-55,987.84,20.44,37.87
2022-11-20_17-46-55,987.84,20.58,37.50
2022-11-20_17-47-55,987.74,20.69,37.33
2022-11-20_17-48-55,987.74,20.64,37.77
2022-11-20_17-49-56,987.80,20.57,38.76
2022-11-20_17-50-56,987.84,20.53,38.50
2022-11-20_17-51-56,987.70,20.47,38.15
2022-11-20_17-52-56,987.75,20.44,40.49
2022-11-20_17-53-56,987.76,20.40,38.60
2022-11-20_17-54-56,987.85,20.39,41.31
2022-11-20_17-55-56,987.77,20.41,39.70
2022-11-20_17-56-57,987.83,20.38,38.76
2022-11-20_17-57-57,987.76,20.34,40.80
2022-11-20_17-58-57,987.81,20.32,39.83
2022-11-20_17-59-57,987.74,20.28,38.83
2022-11-20_18-0-57,987.82,20.27,38.88
2022-11-20_18-1-57,987.80,20.26,38.88
2022-11-20_18-2-57,987.82,20.22,38.70
2022-11-20_18-3-57,987.78,20.21,38.77
2022-11-20_18-4-58,987.77,20.15,38.54
2022-11-20_18-5-58,987.75,20.09,38.66
2022-11-20_18-6-58,987.75,20.04,38.67
2022-11-20_18-7-58,987.81,20.02,38.77
2022-11-20_18-8-58,987.81,20.01,38.78
2022-11-20_18-9-58,987.74,20.09,38.76
2022-11-20_18-10-58,987.84,20.23,38.53
2022-11-20_18-11-59,987.70,20.41,38.25
2022-11-20_18-12-59,987.76,20.60,37.83
2022-11-20_18-13-59,987.69,20.72,37.55
2022-11-20_18-14-59,987.74,20.69,37.80
2022-11-20_18-15-59,987.67,20.60,37.91
2022-11-20_18-16-59,987.80,20.51,37.97
2022-11-20_18-17-59,987.74,20.43,38.05
2022-11-20_18-18-59,987.76,20.35,38.22
2022-11-20_18-20-0,987.78,20.26,38.22
2022-11-20_18-21-0,987.73,20.18,38.33
2022-11-20_18-22-0,987.73,20.13,38.33
2022-11-20_18-23-0,987.81,20.06,38.42
2022-11-20_18-24-0,987.72,20.03,38.49
2022-11-20_18-25-0,987.74,19.99,38.54
2022-11-20_18-26-0,987.78,19.95,38.58
2022-11-20_18-27-1,987.67,19.90,38.58
2022-11-20_18-28-1,987.71,19.87,38.67
2022-11-20_18-29-1,987.67,19.86,38.70
2022-11-20_18-30-1,987.64,19.83,38.73
2022-11-20_18-31-1,987.63,19.94,38.56
2022-11-20_18-32-1,987.61,20.08,38.35
2022-11-20_18-33-1,987.67,20.26,37.91
2022-11-20_18-34-1,987.68,20.50,37.42
2022-11-20_18-35-2,987.67,20.65,37.05
2022-11-20_18-36-2,987.58,20.72,37.03
2022-11-20_18-37-2,987.69,20.57,37.44
2022-11-20_18-38-2,987.61,20.43,37.69
2022-11-20_18-39-2,987.60,20.32,37.82
2022-11-20_18-40-2,987.60,20.23,37.97
2022-11-20_18-41-3,987.61,20.18,39.04
2022-11-20_18-42-3,987.57,20.16,38.64
2022-11-20_18-43-3,987.57,20.11,38.45
2022-11-20_18-44-3,987.47,20.06,38.75
2022-11-20_18-45-3,987.54,20.04,38.56
2022-11-20_18-46-3,987.47,20.00,38.83
2022-11-20_18-47-3,987.49,19.97,38.51
2022-11-20_18-48-4,987.55,19.95,38.61
2022-11-20_18-49-4,987.49,19.92,38.77
2022-11-20_18-50-4,987.51,19.92,38.75
2022-11-20_18-51-4,987.49,19.91,38.67
2022-11-20_18-52-4,987.42,19.94,38.77
2022-11-20_18-53-4,987.51,19.92,38.71
2022-11-20_18-54-4,987.49,19.92,38.79
2022-11-20_18-55-4,987.46,19.90,38.96
2022-11-20_18-56-5,987.42,20.04,38.41
2022-11-20_18-57-5,987.37,20.31,37.90
2022-11-20_18-58-5,987.41,20.58,37.33
2022-11-20_18-59-5,987.33,20.79,36.93
2022-11-20_19-0-5,987.36,20.91,36.87
2022-11-20_19-1-5,987.24,20.76,37.44
2022-11-20_19-2-5,987.28,20.63,37.77
2022-11-20_19-3-6,987.27,20.51,38.03
2022-11-20_19-4-6,987.31,20.44,38.02
2022-11-20_19-5-6,987.33,20.34,37.69
2022-11-20_19-6-6,987.32,20.29,38.12
2022-11-20_19-7-6,987.30,20.23,38.26
2022-11-20_19-8-6,987.20,20.18,38.12
2022-11-20_19-9-6,987.27,20.16,38.38
2022-11-20_19-10-6,987.30,20.18,38.47
2022-11-20_19-11-7,987.23,20.19,37.90
2022-11-20_19-12-7,987.23,20.20,38.02
2022-11-20_19-13-7,987.23,20.14,38.12
2022-11-20_19-14-7,987.22,20.13,38.32
2022-11-20_19-15-7,987.14,20.16,38.50
2022-11-20_19-16-7,987.16,20.17,38.65
2022-11-20_19-17-7,987.07,20.18,38.83
2022-11-20_19-18-8,987.16,20.16,38.77
2022-11-20_19-19-8,987.07,20.17,38.53
2022-11-20_19-20-8,987.14,20.15,38.58
2022-11-20_19-21-8,987.07,20.12,38.57
2022-11-20_19-22-8,987.09,20.08,38.36
2022-11-20_19-23-8,986.97,20.02,38.47
2022-11-20_19-24-8,987.06,19.97,38.37
2022-11-20_19-25-8,987.06,20.12,37.64
2022-11-20_19-26-9,986.98,20.27,37.23
2022-11-20_19-27-9,987.04,20.56,36.60
2022-11-20_19-28-9,987.10,20.73,36.17
2022-11-20_19-29-9,986.96,20.92,35.82
2022-11-20_19-30-9,987.01,20.80,36.53
2022-11-20_19-31-9,986.98,20.63,36.80
2022-11-20_19-32-9,986.99,20.48,36.97
2022-11-20_19-33-10,987.10,20.39,37.13
2022-11-20_19-34-10,987.08,20.33,37.30
2022-11-20_19-35-10,987.10,20.29,37.44
2022-11-20_19-36-10,987.12,20.24,37.48
2022-11-20_19-37-10,987.11,20.18,37.61
2022-11-20_19-38-10,987.09,20.13,37.61
2022-11-20_19-39-10,987.15,20.10,37.69
2022-11-20_19-40-11,987.06,20.07,37.38
2022-11-20_19-41-11,987.13,20.00,37.51
2022-11-20_19-42-11,987.06,19.96,37.66
2022-11-20_19-43-11,987.10,19.94,37.67
2022-11-20_19-44-11,987.05,19.91,37.69
2022-11-20_19-45-11,987.01,19.90,37.83
2022-11-20_19-46-11,987.07,19.87,37.79
2022-11-20_19-47-11,987.05,19.95,37.45
2022-11-20_19-48-12,987.04,20.16,37.15
